,id,price,level,levels,rooms,area,kitchen_area,house_id
445,445,5990000,15,16,1,57.0,20.7,2032609
446,446,990000,1,3,1,45.0,9.0,814338
447,447,2800000,3,5,1,28.0,6.0,1564663
448,448,5650000,1,7,3,83.4,12.8,2487207
449,449,4240000,7,25,1,20.9,6.1,1575857
450,450,3070000,8,10,1,42.0,8.0,1523071
451,451,3290000,2,5,1,32.0,6.0,2281215
452,452,1000000,1,2,1,44.0,6.0,2004517
453,453,7500000,13,25,2,60.5,13.58,2227251
454,454,3100000,5,17,1,35.0,9.3,1387388
455,455,2800000,2,5,3,67.0,9.0,721727
456,456,1250000,3,5,1,32.0,6.0,2323434
457,457,7800000,5,9,4,100.0,12.0,2693402
458,458,3620000,7,17,1,40.0,9.0,2304763
459,459,13000000,11,24,3,108.0,12.0,906804
460,460,10300000,12,25,2,74.0,18.6,2630455
461,461,3802500,6,24,2,50.7,9.5,1262818
462,462,1760000,2,9,1,29.8,6.0,2501863
463,463,11271000,6,25,2,66.3,19.9,1678042
464,464,2550000,5,9,2,56.1,9.0,1275159
465,465,10430000,19,25,2,69.0,12.8,2506976
466,466,9700000,2,6,3,82.0,9.0,1274597
467,467,2530000,4,17,1,36.0,11.0,2777771
468,468,3570000,14,17,1,43.0,9.0,1572462
469,469,4750000,6,9,1,40.9,10.4,1431224
470,470,7800000,5,9,2,45.0,6.0,953845
471,471,19500000,9,10,2,42.0,7.0,1720155
472,472,4900000,3,16,1,49.9,9.4,2023312
473,473,5400000,4,14,1,37.9,9.0,2198546
474,474,8200000,5,5,1,32.0,6.0,1331012
475,475,2540000,1,5,1,54.6,8.0,2210201
476,476,15650000,8,9,2,45.3,12.0,2449135
477,477,24500000,11,22,3,84.0,12.0,1829342
478,478,9700000,1,5,3,78.0,11.4,775918
479,479,8500000,5,9,1,32.6,6.7,2606540
480,480,3150000,3,5,1,31.0,6.0,1859087
481,481,2135600,2,3,2,49.2,9.1,810719
482,482,4700000,9,10,2,64.0,14.0,791920
483,483,1650000,3,9,1,42.5,8.9,2431822
484,484,2550000,5,9,1,41.5,9.0,1612120
485,485,4800000,14,17,1,33.0,9.8,2344165
486,486,2850000,5,5,3,76.0,6.0,2055243
487,487,2650000,2,5,2,43.3,6.0,1413845
488,488,3410000,4,17,2,62.0,11.0,2158352
489,489,11000400,6,32,1,35.6,16.7,2272149
490,490,4990000,27,30,1,48.0,21.0,2477416
491,491,3605000,4,5,2,44.5,6.0,2045561
492,492,6350000,12,24,2,60.0,20.0,1900924
493,493,1915000,5,9,1,29.0,6.0,1973014
494,494,3300000,4,9,1,33.7,6.7,1551765
495,495,3100000,19,25,1,36.0,7.7,732250
496,496,10500000,1,6,2,66.3,13.1,1354130
497,497,13000000,14,17,2,51.0,10.0,2234630
498,498,5200000,3,7,1,39.0,10.0,875945
499,499,2900000,10,17,1,36.0,9.8,1555148
500,500,3750000,1,5,2,42.5,6.0,737399
501,501,6700000,9,9,2,45.0,7.0,2002371
